Subject,List,Nominal SP,word,Freq,Trialtype,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,OUTPUT ORDER,Correct,Rehearsals,Last RS,item-item,Kahana lag,Last R lag,GroupLastR,Group #R,fSP,Kahana lag+/-5,
24,6,14,TEST,HIGH,m,,,,,,,,,,,,,,1,,,,0,1,14,,,,13-14,1-2,10,,
24,6,15,OUNCE,LOW,m,,,,,,,,,,,,,,,2,,,0,2,15,,,,15-16,1-2,13,,
24,7,1,FEET,HIGH,m,3,1,3,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,20,16,,,,15-16,5+,14,,
24,7,2,WALL,HIGH,m,,2,3,2,1,1,1,,1,,1,1,1,1,,1,2,1,16,16,HIGHHIGH,1,0,15-16,5+,11,1,
24,7,3,SENSE,HIGH,m,,,3,2,1,1,1,,1,,1,1,,1,1,1,3,1,14,16,HIGHHIGH,1,0,15-16,5+,9,1,
24,7,11,SCHOOL,HIGH,m,,,,,,,,,,,2,1,1,1,,1,4,1,6,16,HIGHHIGH,8,0,15-16,5+,15,,
24,7,4,BLEACH,LOW,m,,,,2,1,1,,,,,,1,1,1,1,1,5,1,9,16,HIGHLOW,-7,0,15-16,5+,13,,
24,7,5,BERTH,LOW,m,,,,,2,1,,,,,,,,,,,,0,3,6,,,,1-8,3-4,1,,
24,7,6,THING,HIGH,m,,,,,,2,1,1,,,1,,1,,,,,0,6,13,,,,13-14,5+,6,,
24,7,7,SAGE,LOW,m,,,,,,,2,,,,1,,,,,,,0,3,11,,,,11-12,3-4,5,,
24,7,8,MAN,HIGH,m,,,,,,,,1,1,,,,,,,,,0,2,9,,,,9-10,1-2,3,,
24,7,9,EWE,LOW,m,,,,,,,,,1,,,,,,,,,0,1,9,,,,9-10,1-2,2,,
24,7,10,DENT,LOW,m,,,,,,,,,,3,1,,,,,,,0,4,11,,,,11-12,3-4,4,,
24,7,12,SPACE,HIGH,m,,,,,,,,,,,,2,2,,,1,,0,5,16,,,,15-16,5+,12,,
24,7,13,GIRL,HIGH,m,,,,,,,,,,,,,2,1,,,,0,3,14,,,,13-14,3-4,7,,
24,7,14,GERM,LOW,m,,,,,,,,,,,,,,2,1,,,0,3,15,,,,15-16,3-4,8,,
24,7,15,MOAT,LOW,m,,,,,,,,,,,,,,,1,1,,0,2,16,,,,15-16,1-2,16,,
24,7,16,STAIR,LOW,m,,,,,,,,,,,,,,,,1,,0,1,16,,,,15-16,1-2,10,,
24,8,16,OLD,HIGH,m,,,,,,,,,,,,,,,,1,1,1,1,16,,,,15-16,1-2,16,,
