subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
2,cannon.pict,NA,FAM,1670,NA,new,test,74,0,1,0,0
2,guitar.pict,NA,REM,1044,High,old,test,75,1,0,0,1
2,drum2.pict,NA,REM,1383,Low,old,test,76,1,0,0,1
2,sheep.pict,NA,FAM,1942,NA,new,test,77,0,1,0,0
2,muffin.pict,NA,FAM,2461,NA,new,test,78,0,1,0,0
2,violin.pict,NA,REM,942,Low,old,test,79,1,0,0,1
2,tomato.pict,NA,FAM,2217,NA,new,test,80,0,1,0,0
2,skates.pict,NA,NEW,2710,NA,new,test,81,0,0,1,1
2,stethoscope.pict,NA,NEW,1681,NA,new,test,82,0,0,1,1
2,pineapple.pict,NA,FAM,1650,Low,old,test,83,0,1,0,1
2,butterfly.pict,NA,REM,1155,High,old,test,84,1,0,0,1
2,cheese.pict,NA,REM,1001,High,old,test,85,1,0,0,1
2,grill.pict,NA,REM,1043,High,old,test,86,1,0,0,1
2,stereo.pict,NA,FAM,1773,High,old,test,87,0,1,0,1
2,cup.pict,NA,NEW,1145,NA,new,test,88,0,0,1,1
2,iron.pict,NA,NEW,882,NA,new,test,89,0,0,1,1
2,spoon.pict,NA,NEW,1077,NA,new,test,90,0,0,1,1
2,gloves.pict,NA,REM,1190,High,old,test,91,1,0,0,1
2,basket.pict,NA,NEW,1305,NA,new,test,92,0,0,1,1
2,strawberry2.pict,NA,FAM,1229,Low,old,test,93,0,1,0,1
2,calculator.pict,NA,FAM,2434,Low,old,test,94,0,1,0,1
2,bowl.pict,NA,NEW,1259,Low,old,test,95,0,0,1,0
2,shoes.pict,NA,REM,1040,High,old,test,96,1,0,0,1
2,grapes.pict,NA,NEW,2261,NA,new,test,97,0,0,1,1
2,flower.pict,NA,NEW,1173,NA,new,test,98,0,0,1,1
2,accordion.pict,NA,NEW,1307,NA,new,test,99,0,0,1,1
2,baby.pict,NA,NEW,2007,NA,new,test,100,0,0,1,1
2,lemon.pict,NA,NEW,1204,NA,new,test,101,0,0,1,1
2,lion.pict,NA,NEW,1635,NA,new,test,102,0,0,1,1
2,keyboard.pict,NA,NEW,1990,NA,new,test,103,0,0,1,1
2,pot2.pict,NA,REM,1221,High,old,test,104,1,0,0,1
2,orange.pict,NA,FAM,2993,NA,new,test,105,0,1,0,0
2,printer.pict,NA,NEW,1249,NA,new,test,106,0,0,1,1
2,horse.pict,NA,FAM,1889,Low,old,test,107,0,1,0,1
2,avocado.pict,NA,FAM,2017,NA,new,test,108,0,1,0,0
2,boots.pict,NA,REM,911,Low,old,test,109,1,0,0,1
2,zebra.pict,NA,NEW,1968,NA,new,test,110,0,0,1,1
2,pepper.pict,NA,FAM,1833,High,old,test,111,0,1,0,1
2,watermelon.pict,NA,REM,911,Low,old,test,112,1,0,0,1
2,camera.pict,NA,FAM,2089,Low,old,test,113,0,1,0,1
2,stove.pict,NA,FAM,2682,Low,old,test,114,0,1,0,1
2,squash.pict,NA,REM,653,High,old,test,115,1,0,0,1
2,chair2.pict,NA,NEW,1672,NA,new,test,116,0,0,1,1
2,corn.pict,NA,REM,1026,High,old,test,117,1,0,0,1
2,binoculars.pict,NA,NEW,1149,NA,new,test,118,0,0,1,1
2,basketball.pict,NA,NEW,932,NA,new,test,119,0,0,1,1
2,bride.pict,NA,NEW,1241,NA,new,test,120,0,0,1,1
3,basket.pict,PENDULUM,HighPicLowWord,777,Low,NA,study,1,0,0,0,NA
3,stereo.pict,CRUMB,HighPicLowWord,788,Low,NA,study,2,0,0,0,NA
3,watermelon.pict,VALLEY,LowPicHighWord,625,High,NA,study,3,0,0,0,NA
3,flower.pict,LIBRARY,HighPicHighWord,513,High,NA,study,4,0,0,0,NA
3,pineapple.pict,MORNING,LowPicHighWord,508,High,NA,study,5,0,0,0,NA
3,earth.pict,SQUARE,HighPicHighWord,603,High,NA,study,6,0,0,0,NA
