"","subject","testtria","cond","wordcategory","studytria","stim1","stim2","resp","corr","conf","resptype","oldssn","oldresptype","ncorr","norec","incorr","simpleresp","expt","order","rt","blocknum","cond_prioritem1","cond_prioritem","cond_prioritem2","cond_prioritem3","cond_consec_value","cond_consec_lab","list","trial","procedure","duration","onset"
"36",1,11,"REP",2,14,"014_c","useful","open",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,36,"study",3000,105000
"37",1,12,"NEW",2,15,"032_c","indicate","follow",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,37,"study",3000,108000
"38",1,5,"REP",2,16,"097_c","solid","solid",1,4,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,38,"study",3000,111000
"39",1,13,"REP",1,17,"127_c","birds","birds",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,39,"study",3000,114000
"40",1,18,"REP",2,18,"077_c","smith","basis",0,2,3,1,11,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,40,"study",3000,117000
"41",1,6,"NEW",1,19,"013_c","feet","feet",1,5,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,41,"study",3000,120000
"42",1,17,"NEW",1,20,"025_c","heavy","large",0,3,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,42,"study",3000,123000
"43",1,19,"NEW",1,21,"126_c","final","last",0,2,7,1,5,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,43,"study",3000,126000
"44",1,21,"NEW",2,22,"017_c","membership","open",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,44,"study",3000,129000
"45",1,23,"NEW",1,23,"111_c","east","east",1,2,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,45,"study",3000,132000
"46",1,24,"NEW",1,24,"003_c","exchange","jobs",0,1,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,46,"study",3000,135000
"47",1,1,"REP",1,2,"010_c","tone","basis",0,2,4,1,12,0,0,1,3,1,NA,NA,NA,"NEW","NEW",NA,NA,-0.5,"NEW1",2,47,"test",63000,198000
"48",1,2,"REP",2,4,"118_c","spread","spread",1,5,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,48,"test",3000,201000
"49",1,3,"NEW",2,7,"095_c","jobs","jobs",1,6,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,49,"test",3000,204000
"50",1,4,"REP",1,8,"020_c","basis","east",0,3,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,50,"test",3000,207000
"51",1,5,"REP",2,16,"097_c","solid","solid",1,4,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,51,"test",3000,210000
"52",1,6,"NEW",1,19,"013_c","feet","feet",1,5,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,52,"test",3000,213000
"53",1,8,"REP",1,3,"029_c","inner","large",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW",NA,0.5,"REP1",2,53,"test",3000,216000
"54",1,9,"NEW",1,11,"104_c","dropped","fail",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,54,"test",3000,219000
"55",1,10,"REP",2,13,"056_c","straight","straight",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,55,"test",3000,222000
"56",1,11,"REP",2,14,"014_c","useful","open",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,56,"test",3000,225000
"57",1,12,"NEW",2,15,"032_c","indicate","follow",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,57,"test",3000,228000
"58",1,13,"REP",1,17,"127_c","birds","birds",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,58,"test",3000,231000
"59",1,14,"REP",1,10,"128_c","spot","heart",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,59,"test",3000,234000
"60",1,15,"REP",1,12,"002_c","increase","order",0,2,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,60,"test",3000,237000
