"subject","group","condition","list","stim1","stim2","free_recall_acc","cued_recall_acc","cue_type","trial","cue_type_prioritem1","cue_type_prioritem2","cue_type_prioritem3","cue_type_prioritem4","cue_type_consec_value","cue_type_consec_lab","procedure","testtria","response","duration","extra","onset"
11,"C","Reh+Att","B1","Mädchen",NA,1,1,"TBR",36,"TBF","TBR","TBR","TBF",-0.5,"TBF1","test",12,"Ding",3000,0,165000
11,"C","Reh+Att","B2","Geist","Lage",0,NA,"TBF",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
11,"C","Reh+Att","B2","Grund","Urkunde",0,NA,"TBF",2,"TBF",NA,NA,NA,-0.5,"TBF1","study",NA,NA,3000,0,3000
11,"C","Reh+Att","B2","Haus","System",1,1,"TBR",3,"TBF","TBF",NA,NA,-1.5,"TBF2","study",NA,NA,3000,0,6000
11,"C","Reh+Att","B2","Richtung","Maß",0,NA,"TBF",4,"TBR","TBF","TBF",NA,0.5,"TBR1","study",NA,NA,3000,0,9000
11,"C","Reh+Att","B2","Raum","Berliner",0,0,"TBR",5,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,12000
11,"C","Reh+Att","B2","Entscheidung","Tüte",0,NA,"TBF",6,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,15000
11,"C","Reh+Att","B2","Chef","Acker",1,1,"TBR",7,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,18000
11,"C","Reh+Att","B2","Haltung","Ball",0,NA,"TBF",8,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,21000
11,"C","Reh+Att","B2","Prinzip","Zaun",0,0,"TBR",9,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,24000
11,"C","Reh+Att","B2","Industrie","Artikel",0,0,"TBR",10,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,27000
11,"C","Reh+Att","B2","Werk","Aufgabe",0,0,"TBR",11,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,30000
11,"C","Reh+Att","B2","Druck","Topf",0,NA,"TBF",12,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,33000
11,"C","Reh+Att","B2","Zahl","Verhalten",0,0,"TBR",13,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,36000
11,"C","Reh+Att","B2","Arme","Glück",1,1,"TBR",14,"TBR","TBF","TBR","TBR",0.5,"TBR1","study",NA,NA,3000,0,39000
11,"C","Reh+Att","B2","Funktion","Dorf",0.5,0,"TBR",15,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,42000
11,"C","Reh+Att","B2","Mitte","Stift",1,1,"TBR",16,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,45000
11,"C","Reh+Att","B2","Dame","Verfügung",0,NA,"TBF",17,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,48000
11,"C","Reh+Att","B2","Kenntnis","Wase",0,NA,"TBF",18,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,51000
11,"C","Reh+Att","B2","Staat","Regierung",0,NA,"TBF",19,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,54000
