,duration,freq,list,onset,procedure,sp,stim1,study_duration,subject,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,hits_pred,hits
32,0.4,lf,context1,20.101000000000006,study,33.0,loses,,0,33,loses.context1.,0.0,0.0,0.33430006336047463,1.0,1.0,True,loses.context1.,True,1.0,0.3227291048525765,1.0393772569250752,0.6272750438371864,0.3817028945355114,
33,0.55,lf,context1,20.651000000000007,study,34.0,filmmaker,,0,34,filmmaker.context1.,0.0,0.0,0.2654118201055873,1.0,1.0,True,filmmaker.context1.,True,1.0,0.23690752576254148,0.9593522130878895,0.6995920492845222,0.3817028945355114,
34,0.85,lf,context1,21.50100000000001,study,35.0,huppah,,0,35,huppah.context1.,0.0,0.0,0.29394471406866385,1.0,1.0,True,huppah.context1.,True,1.0,0.2019900332501664,1.1055101638033689,0.7868972762530186,0.3817028945355114,
35,0.85,lf,context1,22.35100000000001,study,36.0,cajoling,,0,36,cajoling.context1.,0.0,0.0,0.31164275882587084,1.0,1.0,True,cajoling.context1.,True,1.0,0.20159361703258788,1.1643628875503516,0.8062284288886395,0.3817028945355114,
36,0.55,lf,context1,22.90100000000001,study,37.0,countersign,,0,37,countersign.context1.,0.0,0.0,0.22334197497392844,1.0,1.0,True,countersign.context1.,True,1.0,0.20317453598894297,0.9053844586617127,0.7214459193285854,0.3817028945355114,
37,0.4,lf,context1,23.30100000000001,study,38.0,concluding,,0,38,concluding.context1.,0.0,0.0,0.0,1.0,1.0,True,concluding.context1.,True,0.9685656694400664,0.20571670710667905,0.5819385393331259,0.5819385393331259,0.3817028945355114,
38,0.4,lf,context1,23.701000000000008,study,39.0,whey,,0,39,whey.context1.,0.0,0.0,0.0,1.0,1.0,True,whey.context1.,True,0.832466028856087,0.20159361703258788,0.3979999999999986,0.3979999999999986,0.3817028945355114,
39,0.55,lf,context1,24.25100000000001,study,40.0,annular,,0,40,annular.context1.,0.0,0.0,0.0,1.0,1.0,True,annular.context1.,True,0.9401630759802243,0.2003996002665334,0.5472500000000007,0.5472500000000007,0.3817028945355114,
40,0.4,hf,context1,24.651000000000007,study,41.0,wall,,0,41,wall.context1.,0.0,0.0,0.08627565511920139,1.0,1.0,True,wall.context1.,True,1.0,0.3998297832464932,0.3979999999999986,0.37055213554321137,0.3817028945355114,
41,0.85,hf,context1,25.50100000000001,study,42.0,day,,0,42,day.context1.,0.0,0.0,0.31792133818423524,1.0,1.0,True,day.context1.,True,1.0,0.4,0.8731978644567886,0.5004875732631362,0.3817028945355114,
42,0.4,lf,context1,25.901000000000007,study,43.0,gamed,,0,43,gamed.context1.,0.0,0.0,0.15556096796575666,1.0,1.0,True,gamed.context1.,True,1.0,0.2003996002665334,0.770710291193651,0.6814756867866418,0.3817028945355114,
43,0.85,hf,context1,26.75100000000001,study,44.0,eyes,,0,44,eyes.context1.,0.0,0.0,0.3365157269758708,1.0,1.0,True,eyes.context1.,True,1.0,0.3999999999522212,0.9349846044070106,0.5174016521805214,0.3817028945355114,
44,0.85,lf,context1,27.60100000000001,study,45.0,couture,,0,45,couture.context1.,0.0,0.0,0.34189850325102095,1.0,1.0,True,couture.context1.,True,1.0,0.20610488538479482,1.2633329522264907,0.8322841644144898,0.3817028945355114,
