,Unnamed: 0,subject,stim1,stim2,freq,triatype,procedure,trial,rt,source,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,resp,rem,know,new,acc,duration,onset,list,old,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,old_pred
79,80,1,car.pict,nan,low,old,test,80,892,original,high,high,low,high,0.5,high1,rem,1.0,0.0,0.0,1.0,2392,482.251,context1,1.0,context1.car.pict.nan.,0.10492299751826802,0.2604631463572795,0.0,1.0,1.0,True,context1.car.pict.stripe.,False,1.0,0.4882881326798377,0.3,0.3,3.0,1.0694297240416528,0.7833700860053641
81,82,1,pot2.pict,nan,low,old,test,82,1363,original,high,high,high,high,2.5,high3,new,0.0,0.0,1.0,0.0,2863,488.08,context1,0.0,context1.pot2.pict.nan.,0.10678257186633075,0.26636564744544433,0.0,1.0,1.0,True,context1.pot2.pict.paste.,False,1.0,0.486455953211811,0.3,0.3,3.0,1.0725120177222034,0.812129506699609
82,83,1,apple.pict,nan,high,old,test,83,1090,original,high,high,low,nan,0.5,high1,rem,1.0,0.0,0.0,1.0,2590,490.943,context1,1.0,context1.apple.pict.nan.,0.10460387953848577,0.26253695252287296,0.0,1.0,1.0,True,context1.apple.pict.staff.,False,1.0,0.48377586676601103,0.3,0.3,3.0,1.0770372479068033,0.7781905998107972
83,84,1,tiger.pict,nan,low,old,test,84,720,original,low,low,low,high,-1.5,low2,rem,1.0,0.0,0.0,1.0,2220,493.53299999999996,context1,1.0,context1.tiger.pict.nan.,0.0827875170870558,0.20599915879310984,0.0,1.0,1.0,True,context1.tiger.pict.banker.,False,1.0,0.4877213897187898,0.3,0.3,3.0,1.0703809266507456,0.33277508757873625
84,85,1,grill.pict,nan,high,old,test,85,1326,original,low,low,low,high,-1.5,low2,fam,0.0,1.0,0.0,1.0,2826,495.753,context1,1.0,context1.grill.pict.nan.,0.10477771032441398,0.2628765160650645,0.0,1.0,1.0,True,context1.grill.pict.school.,False,1.0,0.48401356124554507,0.3,0.3,3.0,1.0766323976493575,0.781020707697635
86,87,1,refrigerator.pict,nan,high,old,test,87,647,original,low,low,nan,nan,-0.5,low1,rem,1.0,0.0,0.0,1.0,2147,500.77299999999997,context1,1.0,context1.refrigerator.pict.nan.,0.10389028126578262,0.261404509104639,0.0,1.0,1.0,True,context1.refrigerator.pict.wheel.,False,1.0,0.4829831563732473,0.3,0.3,3.0,1.0783780735370327,0.7663561203981681
87,88,1,baby.pict,nan,high,old,test,88,571,original,high,high,low,high,0.5,high1,rem,1.0,0.0,0.0,1.0,2071,502.91999999999996,context1,1.0,context1.baby.pict.nan.,0.10475302120617576,0.26298077990273955,0.0,1.0,1.0,True,context1.baby.pict.library.,False,1.0,0.48408654593191763,0.3,0.3,3.0,1.0765084208243745,0.7806200185619949
88,89,1,spoon.pict,nan,low,old,test,89,1745,original,low,low,high,high,-0.5,low1,new,0.0,0.0,1.0,0.0,3245,504.991,context1,0.0,context1.spoon.pict.nan.,0.10576017476922835,0.26480331066119717,0.0,1.0,1.0,True,context1.spoon.pict.bayonet.,False,1.0,0.485362317462838,0.3,0.3,3.0,1.0743515331346998,0.7966206930927597
89,90,1,bottle2.pict,nan,low,old,test,90,910,original,high,high,low,low,0.5,high1,new,0.0,0.0,1.0,0.0,2410,508.236,context1,0.0,context1.bottle2.pict.nan.,0.09114682031468932,0.22765970519441336,0.0,1.0,1.0,True,context1.bottle2.pict.maple.,False,1.0,0.4868922689629003,0.3,0.3,3.0,1.0717770537562092,0.5107336046541716
91,92,1,sock.pict,nan,high,old,test,92,3458,original,low,low,low,low,-3.5,low4,new,0.0,0.0,1.0,0.0,4958,513.536,context1,0.0,context1.sock.pict.nan.,0.10547247564552198,0.2645469224293023,0.0,1.0,1.0,True,context1.sock.pict.block.,False,1.0,0.48518284570051157,0.3,0.3,3.0,1.0746581235507373,0.7921225555757136
93,94,1,knife.pict,nan,high,old,test,94,1852,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,3352,521.165,context1,1.0,context1.knife.pict.nan.,0.10283369711467893,0.2599010544096771,0.0,1.0,1.0,True,context1.knife.pict.family.,False,1.0,0.48193073808677395,0.3,0.3,3.0,1.0801666519227042,0.7482081091516931
94,95,1,cup.pict,nan,low,old,test,95,951,original,high,high,low,high,0.5,high1,new,0.0,0.0,1.0,0.0,2451,524.5169999999999,context1,0.0,context1.cup.pict.nan.,0.096448641952716,0.24227475264626636,0.0,1.0,1.0,True,context1.cup.pict.harness.,False,1.0,0.4848269362820291,0.3,0.3,3.0,1.075260268029759,0.6248084686569717
