,subject,group,condition,list,stim1,stim2,free_recall_acc,cued_recall_acc,cue_type,trial,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_consec_value,cue_type_consec_lab,procedure,testtria,response,duration,extra,onset,epiname,epiA_cued_recall,epiA_free_recall,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,cued_recall_acc_pred,free_recall_acc_pred
54,1,a,att,contextb1,eltern,nan,0,1,tbr,55,tbr,tbf,tbf,tbr,0.5,tbr1,test,7,salz,3000,0,150.001,eltern.nan.contextb1.,0.859675615,1.051788341,0.388888509,0,1,0.986771159,TRUE,eltern.salz.contextb1.,FALSE,1,0.572221956,0.3,0.3,3,0.787859656,0.391657578,0.219807472
55,1,a,att,contextb1,gegner,nan,0,1,tbr,56,tbr,tbr,tbf,tbf,1.5,tbr2,test,8,musik,3000,0,153.001,gegner.nan.contextb1.,0.849389494,0.838783395,0.379357374,0,1,0.987840825,TRUE,gegner.musik.contextb1.,FALSE,1,0.572221956,0.3,0.3,3,0.787845773,0.37207643,0.201792104
56,1,a,att,contextb1,revolution,nan,0,1,tbr,57,tbf,tbr,tbf,tbr,-0.5,tbf1,test,9,pfanne,3000,0,156.001,revolution.nan.contextb1.,0.888355243,1.640276996,0.409483065,0,1,0.988637303,TRUE,revolution.pfanne.contextb1.,FALSE,1,0.586638146,0.3,0.3,3,0.769511031,0.447568379,0.274098795
57,1,a,att,contextb1,rahmen,nan,0,1,tbr,58,tbr,nan,nan,nan,0.5,tbr1,test,10,abend,3000,0,159.001,rahmen.nan.contextb1.,0.840545824,0.769298193,0.377400252,0,1,0.989258799,TRUE,rahmen.abend.contextb1.,FALSE,1,0.564180177,0.3,0.3,3,0.798324424,0.355499658,0.196112088
58,1,a,att,contextb1,bett,nan,0,1,tbr,59,tbr,tbf,tbr,tbf,0.5,tbr1,test,11,behälter,3000,0,162.001,bett.nan.contextb1.,0.839641302,0.572662922,0.363110529,0,1,0.989761758,TRUE,bett.behälter.contextb1.,FALSE,1,0.585108038,0.3,0.3,3,0.771413816,0.353818896,0.180571499
59,1,a,att,contextb1,beginn,nan,0,0,tbr,60,tbf,tbf,tbr,tbr,-1.5,tbf2,test,12,nan,3000,0,165.001,beginn.nan.contextb1.,0.84328265,0.796583318,0.380067047,0,1,0.990180681,TRUE,beginn.gans.contextb1.,FALSE,1,0.566046933,0.3,0.3,3,0.795861027,0.360602183,0.198330833
48,1,a,att,contextb2,ansicht,nan,0,1,tbr,49,tbr,tbf,tbf,tbf,0.5,tbr1,test,1,fisch,3000,60000,132.001,ansicht.nan.contextb2.,0.872558026,1.13580497,0.384856378,0,1,0.899422707,TRUE,ansicht.fisch.contextb2.,FALSE,1,0.588223747,0.3,0.3,3,0.772639275,0.41656811,0.227159692
49,1,a,att,contextb2,produktion,nan,0,1,tbr,50,tbf,tbr,tbr,tbf,-0.5,tbf1,test,2,platz,3000,0,135.001,produktion.nan.contextb2.,0.901537063,2.104875835,0.414098111,0,1,0.952715727,TRUE,produktion.platz.contextb2.,FALSE,1,0.589868677,0.3,0.3,3,0.766567678,0.473692139,0.321190396
50,1,a,att,contextb2,küche,nan,1,1,tbr,51,tbf,tbf,tbr,tbr,-1.5,tbf2,test,3,gespräch,3000,0,138.001,küche.nan.contextb2.,0.928501911,3.225493626,0.433524813,0,1,0.971033179,TRUE,küche.gespräch.contextb2.,FALSE,1,0.603467369,0.3,0.3,3,0.74927591,0.527362137,0.44586295
51,1,a,att,contextb2,mönch,nan,0,1,tbr,52,tbf,tbf,tbf,tbr,-2.5,tbf3,test,4,minute,3000,0,141.001,mönch.nan.contextb2.,0.906533625,2.249805351,0.419077045,0,1,0.978918998,TRUE,mönch.minute.contextb2.,FALSE,1,0.593353931,0.3,0.3,3,0.761349896,0.483630162,0.336541778
52,1,a,att,contextb2,mitglied,nan,0,0,tbr,53,tbr,tbf,tbr,nan,0.5,tbr1,test,5,nan,3000,0,144.001,mitglied.nan.contextb2.,0.859028069,1.052110757,0.387323246,0,1,0.982941259,TRUE,mitglied.halle.contextb2.,FALSE,1,0.571126272,0.3,0.3,3,0.789337423,0.390416163,0.219835423
53,1,a,att,contextb2,denken,nan,1,1,tbr,54,tbf,tbf,tbf,tbf,-2.5,tbf3,test,6,park,3000,0,147.001,denken.nan.contextb2.,0.875745844,1.362087549,0.399253271,0,1,0.985286244,TRUE,denken.park.contextb2.,FALSE,1,0.57947729,0.3,0.3,3,0.778579724,0.422788635,0.247635098
