,duration,freq,isi,list,onset,procedure,reduce_wm,sp,stim1,subject,testtype,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred,acc
112,0.5,lf,0,context2,201.501,test,False,5,gruesomeness,2,free_recall,17,gruesomeness.context2.,0.14246695607870355,0.4420226352711448,0.4463818917830842,1.0,1.0,False,gruesomeness.context2.,True,1.0,0.5538410761205811,2.299410289082391,0.5180440567161757,0.41312879061148694,0.45
113,0.5,lf,0,context2,202.001,test,False,6,amas,2,free_recall,18,amas.context2.,0.15959082603142025,0.4465938668272748,0.44272490653818014,1.0,1.0,False,amas.context2.,True,1.0,0.5581570109015825,2.143663107366215,0.5072896020484589,0.5856029914909544,0.45
114,0.5,lf,0,context2,202.501,test,False,7,lurching,2,free_recall,19,lurching.context2.,0.1618036904352554,0.41753950212122115,0.4659683983030231,1.0,1.0,False,lurching.context2.,True,1.0,0.5614143667079123,1.9986703803177566,0.5222543253124922,0.607404063694844,0.45
115,0.5,lf,0,context2,203.001,test,False,8,fishpot,2,free_recall,20,fishpot.context2.,0.14962755362531033,0.36186621774399913,0.5105070258048008,1.0,1.0,False,fishpot.context2.,True,1.0,0.5658493473175148,1.8387129300052645,0.5577550127180265,0.4851278496078216,0.45
116,0.5,lf,0,context2,203.501,test,False,9,lateness,2,free_recall,21,lateness.context2.,0.1617283118734007,0.3710624068661769,0.5031500745070584,1.0,1.0,False,lateness.context2.,True,1.0,0.5725313126481634,1.6432547922872383,0.5390604226978779,0.6066665374821371,0.45
117,0.5,lf,0,context2,204.001,test,False,10,horsefly,2,free_recall,22,horsefly.context2.,0.169637087606919,0.372748197505566,0.5018014419955472,1.0,1.0,False,horsefly.context2.,True,1.0,0.5760076619693609,1.4664912445893603,0.5304968862403157,0.6814996697570371,0.45
118,0.5,lf,0,context2,204.501,test,False,11,scholars,2,free_recall,23,scholars.context2.,0.187030274806254,0.3965814460720815,0.4827348431423348,1.0,1.0,False,scholars.context2.,True,1.0,0.5896119586791813,1.2982912333490448,0.49120625869639345,0.8197734984732873,0.45
119,0.5,lf,0,context2,205.001,test,False,12,backbiting,2,free_recall,24,backbiting.context2.,0.18651212005012682,0.38412685638690663,0.49269851489047467,1.0,1.0,False,backbiting.context2.,True,1.0,0.5874250720099288,1.1693818496526514,0.500192254475928,0.8162900252701564,0.45
120,10.0,hf,0,context3,247.001,test,False,1,hundred,2,free_recall,13,hundred.context3.,0.04953454983897562,0.4263413713669859,0.4589269029064113,1.0,1.0,False,hundred.context3.,True,1.0,0.6557611226558699,3.0,0.402790071226405,0.004877971049625009,0.56
121,0.5,hf,0,context3,247.501,test,False,2,forget,2,free_recall,14,forget.context3.,0.07715778456686304,0.42992637341823337,0.45605890126541326,1.0,1.0,False,forget.context3.,True,1.0,0.6579558240508342,2.9595068037735954,0.39722575647328107,0.029956643304901574,0.56
122,0.5,hf,0,context3,248.001,test,False,3,works,2,free_recall,15,works.context3.,0.10162655434181989,0.4337187137465902,0.45302502900272784,1.0,1.0,False,works.context3.,True,1.0,0.6602281220225474,2.9245779223003145,0.39141950403653836,0.10405624153895937,0.56
123,0.5,hf,0,context3,248.501,test,False,4,heavy,2,free_recall,16,heavy.context3.,0.12326595817061203,0.4377416919307737,0.44980664645538104,1.0,1.0,False,heavy.context3.,True,1.0,0.6616514707760848,2.8954552932637765,0.3863530921845951,0.23943752125888879,0.56
124,0.5,hf,0,context3,249.001,test,False,5,played,2,free_recall,17,played.context3.,0.14246695607870355,0.4420226352711448,0.4463818917830842,1.0,1.0,False,played.context3.,True,1.0,0.6648119091916362,2.8713990760791814,0.379184876449133,0.41312879061148694,0.56
125,0.5,hf,0,context3,249.501,test,False,6,cream,2,free_recall,18,cream.context3.,0.15959082603142027,0.4465938668272748,0.44272490653818014,1.0,1.0,False,cream.context3.,True,1.0,0.6671078714868609,2.8545110746300484,0.3727019765687913,0.5856029914909546,0.56
126,0.5,hf,0,context3,250.001,test,False,7,record,2,free_recall,19,record.context3.,0.1749616304860941,0.4514939794448791,0.43880481644409675,1.0,1.0,False,record.context3.,True,1.0,0.670875345768303,2.8441059730612572,0.3643776031789917,0.7282041198331677,0.56
127,0.5,hf,0,context3,250.501,test,False,8,marriage,2,free_recall,20,marriage.context3.,0.18886899438204985,0.45676953869934844,0.4345843690405213,1.0,1.0,False,marriage.context3.,True,1.0,0.6740128196193488,2.8420252448822656,0.3563878391971492,0.8317973834128052,0.56
128,0.5,hf,0,context3,251.001,test,False,9,rather,2,free_recall,21,rather.context3.,0.20157172391162764,0.462477399067656,0.43001808074587516,1.0,1.0,False,rather.context3.,True,1.0,0.6774852620646638,2.8479342806851164,0.347659673706184,0.9005233869739797,0.56
129,0.5,hf,0,context3,251.501,test,False,10,piece,2,free_recall,22,piece.context3.,0.21329909492732102,0.4686879165714035,0.42504966674287725,1.0,1.0,False,piece.context3.,True,1.0,0.6812123332196381,2.8625714819789327,0.33821482858403273,0.9432854905899652,0.56
130,0.5,hf,0,context3,252.001,test,False,11,clothes,2,free_recall,23,clothes.context3.,0.2242438060532884,0.475489505479499,0.41960839561640084,1.0,1.0,False,clothes.context3.,True,1.0,0.6852894538664256,2.8866535283949,0.3278966551748902,0.9686616289907356,0.56
131,0.5,hf,0,context3,252.501,test,False,12,situation,2,free_recall,24,situation.context3.,0.234517504166614,0.48299526925657,0.413603784594744,1.0,1.0,False,situation.context3.,True,1.0,0.6897701201440338,2.92105374822001,0.31662684581227185,0.9831194409166959,0.56
132,10.0,hf,10,context4,404.501,test,False,1,experience,2,free_recall,13,experience.context4.,0.02776523973367997,0.32743831762971615,0.5380493458962271,1.0,1.0,False,experience.context4.,True,1.0,0.5961474108999714,3.0,0.5567300698471809,0.000849576138293345,0.37
133,0.5,hf,10,context4,405.001,test,False,2,song,2,free_recall,14,song.context4.,0.04904149971484724,0.3324170962354777,0.5340663230116178,1.0,1.0,False,song.context4.,True,1.0,0.5994388649484347,2.8055668051528193,0.548022597727631,0.004703350456997168,0.37
134,0.5,hf,10,context4,405.501,test,False,3,crazy,2,free_recall,15,crazy.context4.,0.06790042764659085,0.3379382592872546,0.5296493925701963,1.0,1.0,False,crazy.context4.,True,1.0,0.6027629555721545,2.6198410824251885,0.5388676180917535,0.01712976069774571,0.37
135,0.5,hf,10,context4,406.001,test,False,4,cake,2,free_recall,16,cake.context4.,0.08486920747578836,0.3441221551540129,0.5247022758767897,1.0,1.0,False,cake.context4.,True,1.0,0.6050247813467371,2.443270339333435,0.5305843258733351,0.04597518423640035,0.37
136,0.5,hf,10,context4,406.501,test,False,5,killer,2,free_recall,17,killer.context4.,0.1004355920495534,0.3511325373697945,0.5190939701041645,1.0,1.0,False,killer.context4.,True,1.0,0.610437859022912,2.2749828884601,0.5176202924326336,0.09868529484989924,0.37
137,0.5,hf,10,context4,407.001,test,False,6,amazing,2,free_recall,18,amazing.context4.,0.11508792065421568,0.35919980013046937,0.5126401598956245,1.0,1.0,False,amazing.context4.,True,1.0,0.6154836447314513,2.1196594710274668,0.5043723925193018,0.17977570610169208,0.37
138,0.5,hf,10,context4,407.501,test,False,7,must,2,free_recall,19,must.context4.,0.12936716637340143,0.36866191734044806,0.5050704661276416,1.0,1.0,False,must.context4.,True,1.0,0.6211971504042688,1.977583953508165,0.48927733100600546,0.2901812924928342,0.37
139,0.5,hf,10,context4,408.001,test,False,8,shop,2,free_recall,20,shop.context4.,0.14395385739282077,0.38004199031868313,0.4959664077450535,1.0,1.0,False,shop.context4.,True,1.0,0.6274393996499151,1.8506034975021595,0.4721393969036607,0.4279222046449436,0.37
140,0.5,hf,10,context4,408.501,test,False,9,cover,2,free_recall,21,cover.context4.,0.15984479602091958,0.3942097443734651,0.4846322045012279,1.0,1.0,False,cover.context4.,True,1.0,0.6365160909294418,1.7407609755984987,0.4495860380621911,0.5881199109053058,0.37
141,0.5,hf,10,context4,409.001,test,False,10,beer,2,free_recall,22,beer.context4.,0.17878131077768847,0.4127646627602407,0.46978826979180743,1.0,1.0,False,beer.context4.,True,1.0,0.6475969457435631,1.6534718125363077,0.4215783071091803,0.7594673615851413,0.37
142,0.5,hf,10,context4,409.501,test,False,11,taste,2,free_recall,23,taste.context4.,0.20449002103566608,0.4391385275639406,0.44868917794884755,1.0,1.0,False,taste.context4.,True,1.0,0.6628201057169965,1.5941903804271274,0.3830570162767808,0.9128952824306715,0.37
143,0.5,hf,10,context4,410.001,test,False,12,hanging,2,free_recall,24,hanging.context4.,0.24730735338800547,0.48299526925657,0.413603784594744,1.0,1.0,False,hanging.context4.,True,1.0,0.6893125394639137,1.5734302391503467,0.3170565529340874,0.9928249399015037,0.37
144,10.0,hf,0,context1,42.001,test,False,1,probably,3,free_recall,13,probably.context1.,0.049534549838975636,0.4263413713669859,0.4589269029064113,1.0,1.0,False,probably.context1.,True,1.0,0.6558048228201186,3.0,0.40274128186736535,0.0048779710496250125,0.56
145,0.5,hf,0,context1,42.501,test,False,2,notice,3,free_recall,14,notice.context1.,0.07715778456686304,0.42992637341823337,0.45605890126541326,1.0,1.0,False,notice.context1.,True,1.0,0.6576511986316138,2.959555593132635,0.3975629747652381,0.029956643304901574,0.56
146,0.5,hf,0,context1,43.001,test,False,3,kept,3,free_recall,15,kept.context1.,0.1016265543418199,0.4337187137465902,0.45302502900272784,1.0,1.0,False,kept.context1.,True,1.0,0.6602163721815562,2.924289493367397,0.3914323815895776,0.10405624153895943,0.56
147,0.5,hf,0,context1,43.501,test,False,4,tie,3,free_recall,16,tie.context1.,0.12326595817061205,0.4377416919307737,0.44980664645538104,1.0,1.0,False,tie.context1.,True,1.0,0.6613225157271205,2.8951539867778195,0.38671110209189974,0.2394375212588889,0.56
148,0.5,hf,0,context1,44.001,test,False,5,town,3,free_recall,17,town.context1.,0.14246695607870355,0.4420226352711448,0.4463818917830842,1.0,1.0,False,town.context1.,True,1.0,0.6652135811607787,2.87073975968592,0.3787539019253018,0.41312879061148694,0.56
149,0.5,hf,0,context1,44.501,test,False,6,lately,3,free_recall,18,lately.context1.,0.15959082603142027,0.4465938668272748,0.44272490653818014,1.0,1.0,False,lately.context1.,True,1.0,0.6670652621001067,2.8542827327606184,0.3727472129465923,0.5856029914909546,0.56
150,0.5,hf,0,context1,45.001,test,False,7,move,3,free_recall,19,move.context1.,0.1749616304860941,0.4514939794448791,0.43880481644409675,1.0,1.0,False,move.context1.,True,1.0,0.6708963876669275,2.8438323948140263,0.3643556329595544,0.7282041198331677,0.56
151,0.5,hf,0,context1,45.501,test,False,8,stuff,3,free_recall,20,stuff.context1.,0.1888689943820499,0.45676953869934844,0.4345843690405213,1.0,1.0,False,stuff.context1.,True,1.0,0.674061723219604,2.841773636854472,0.35633758001095744,0.8317973834128056,0.56
152,0.5,hf,0,context1,46.001,test,False,9,quit,3,free_recall,21,quit.context1.,0.2015717239116277,0.462477399067656,0.43001808074587516,1.0,1.0,False,quit.context1.,True,1.0,0.6774733043387868,2.847732931843515,0.34767174190319705,0.9005233869739799,0.56
153,0.5,hf,0,context1,46.501,test,False,10,file,3,free_recall,22,file.context1.,0.21329909492732102,0.4686879165714035,0.42504966674287725,1.0,1.0,False,file.context1.,True,1.0,0.6799133381904479,2.862358064940318,0.33950139355301995,0.9432854905899652,0.56
154,0.5,hf,0,context1,47.001,test,False,11,fun,3,free_recall,23,fun.context1.,0.22424380605328845,0.475489505479499,0.41960839561640084,1.0,1.0,False,fun.context1.,True,1.0,0.6852937032814823,2.8851535463872984,0.3278925551216615,0.9686616289907357,0.56
