,Unnamed: 0,subject,list,trial,stim1,freq,acc,nominal.sp,composition,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,source,procedure,duration,onset,testtype,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred
25,346,1,context11,26,line,high,0,9,pure,high,high,high,high,3.5,high4,original,test,3000,1035.001,free_recall,context11.line.,0.44031161025606474,0.39283428580415686,0.48573257135667447,1.0,0.9807938267398213,False,context11.line.,True,1.0,0.6357005713475812,2.8,0.4538134272447583,0.37179607106162893
26,347,1,context11,27,car,high,1,6,pure,high,high,high,high,3.5,high4,original,test,3000,1038.001,free_recall,context11.car.,0.42381587401055365,0.3784230586902384,0.4972615530478093,1.0,0.9814224827363381,False,context11.car.,True,1.0,0.627053835214143,2.8,0.47559469417493644,0.35391925249481293
27,348,1,context11,28,chance,high,0,11,pure,high,high,high,high,3.5,high4,original,test,3000,1041.001,free_recall,context11.chance.,0.43843187254158744,0.39283428580415686,0.48573257135667447,1.0,0.9820073323289662,False,context11.chance.,True,1.0,0.6357005714784445,2.8,0.4537845368475135,0.3697440936737668
28,349,1,context11,29,staff,high,0,13,pure,high,high,high,high,3.5,high4,original,test,3000,1044.001,free_recall,context11.staff.,0.4421068575684472,0.3970586782843897,0.4823530573724883,1.0,0.9825529258675523,False,context11.staff.,True,1.0,0.6333197635420823,2.8,0.45334628510045594,0.3737592232370032
29,350,1,context11,30,step,high,1,5,pure,high,high,high,high,3.5,high4,original,test,3000,1047.001,free_recall,context11.step.,0.40884073226005097,0.3668964759626592,0.5064828192298727,1.0,0.9830631965004183,False,context11.step.,True,1.0,0.6201369969248032,2.8,0.49335362310703634,0.33796343271461665
30,351,1,context11,31,god,high,1,10,pure,high,high,high,high,3.5,high4,original,test,3000,1050.001,free_recall,context11.god.,0.42039662533593775,0.3784230586902384,0.4972615530478093,1.0,0.9835415621585333,False,context11.god.,True,1.0,0.627053835214143,2.8,0.47554717803317625,0.3502521817182056
31,352,1,context11,32,age,high,1,7,pure,high,high,high,high,3.5,high4,original,test,3000,1053.001,free_recall,context11.age.,0.407243863355118,0.3668964759626592,0.5064828192298727,1.0,0.9839910078682109,False,context11.age.,True,1.0,0.620091871318886,2.8,0.4933902875140809,0.33627843298420795
16,369,1,context12,17,ark,low,0,4,mixed,high,high,high,low,1.5,high2,original,test,3000,1104.001,free_recall,context12.ark.,0.46972530935967705,0.41183114616102795,0.47053508307117764,1.0,0.9718623311678009,False,context12.ark.,True,1.0,0.5674539345251404,1.3499999999999999,0.5285942843222653,0.4043450179946682
17,370,1,context12,18,chute,low,1,12,mixed,high,high,low,high,0.5,high1,original,test,3000,1107.001,free_recall,context12.chute.,0.5331375063441571,0.47088443897504234,0.4232924488199661,1.0,0.9732953866663862,False,context12.chute.,True,1.0,0.6087741766257428,2.1714057156777344,0.42239750355322647,0.47651509000931136
18,371,1,context12,19,past,high,0,11,mixed,low,low,high,high,-0.5,low1,original,test,3000,1110.001,free_recall,context12.past.,0.5075269136385296,0.4481885790346025,0.441449136772318,1.0,0.9745763465632968,False,context12.past.,True,1.0,0.6689126818430593,2.8,0.37326901836685067,0.44713716410499266
